Training: 2021-07-23 13:07:23,927-rank_id: 0
Training: 2021-07-23 13:25:09,755-Speed 881.03 samples/sec   Loss 48.2320 ArcLoss 46.6983 MSE 1.5336  Epoch: 0   Global Step: 1800   Required: 47 hours
Training: 2021-07-23 13:25:38,548-Speed 890.06 samples/sec   Loss 48.3472 ArcLoss 46.8174 MSE 1.5298  Epoch: 0   Global Step: 1850   Required: 47 hours
Training: 2021-07-23 13:26:07,608-Speed 881.73 samples/sec   Loss 48.2919 ArcLoss 46.7673 MSE 1.5247  Epoch: 0   Global Step: 1900   Required: 47 hours
Training: 2021-07-23 13:26:36,403-Speed 889.84 samples/sec   Loss 47.8322 ArcLoss 46.3075 MSE 1.5247  Epoch: 0   Global Step: 1950   Required: 47 hours
Training: 2021-07-23 13:27:05,600-Speed 877.66 samples/sec   Loss 47.8387 ArcLoss 46.3163 MSE 1.5224  Epoch: 0   Global Step: 2000   Required: 47 hours
Training: 2021-07-23 13:27:34,670-Speed 881.41 samples/sec   Loss 47.4892 ArcLoss 45.9700 MSE 1.5192  Epoch: 0   Global Step: 2050   Required: 47 hours
Training: 2021-07-23 13:28:03,590-Speed 885.99 samples/sec   Loss 47.5196 ArcLoss 45.9992 MSE 1.5204  Epoch: 0   Global Step: 2100   Required: 47 hours
Training: 2021-07-23 13:28:32,394-Speed 889.62 samples/sec   Loss 47.1409 ArcLoss 45.6227 MSE 1.5182  Epoch: 0   Global Step: 2150   Required: 47 hours
Training: 2021-07-23 13:29:01,427-Speed 882.56 samples/sec   Loss 47.0030 ArcLoss 45.4902 MSE 1.5128  Epoch: 0   Global Step: 2200   Required: 47 hours
Training: 2021-07-23 13:29:30,500-Speed 881.35 samples/sec   Loss 46.8618 ArcLoss 45.3498 MSE 1.5121  Epoch: 0   Global Step: 2250   Required: 47 hours
Training: 2021-07-23 13:29:59,306-Speed 889.63 samples/sec   Loss 46.7385 ArcLoss 45.2263 MSE 1.5123  Epoch: 0   Global Step: 2300   Required: 47 hours
Training: 2021-07-23 13:30:28,386-Speed 881.44 samples/sec   Loss 46.5410 ArcLoss 45.0304 MSE 1.5106  Epoch: 0   Global Step: 2350   Required: 47 hours
Training: 2021-07-23 13:30:57,181-Speed 889.87 samples/sec   Loss 46.0735 ArcLoss 44.5613 MSE 1.5123  Epoch: 0   Global Step: 2400   Required: 47 hours
Training: 2021-07-23 13:31:26,240-Speed 882.11 samples/sec   Loss 45.9348 ArcLoss 44.4273 MSE 1.5075  Epoch: 0   Global Step: 2450   Required: 47 hours
Training: 2021-07-23 13:31:55,037-Speed 889.79 samples/sec   Loss 45.6189 ArcLoss 44.1100 MSE 1.5089  Epoch: 0   Global Step: 2500   Required: 47 hours
Training: 2021-07-23 13:32:24,151-Speed 880.16 samples/sec   Loss 45.3345 ArcLoss 43.8305 MSE 1.5040  Epoch: 0   Global Step: 2550   Required: 47 hours
Training: 2021-07-23 13:32:53,231-Speed 881.13 samples/sec   Loss 44.8903 ArcLoss 43.3921 MSE 1.4982  Epoch: 0   Global Step: 2600   Required: 47 hours
Training: 2021-07-23 13:33:22,125-Speed 886.80 samples/sec   Loss 44.6061 ArcLoss 43.1061 MSE 1.5000  Epoch: 0   Global Step: 2650   Required: 47 hours
Training: 2021-07-23 13:33:50,922-Speed 890.16 samples/sec   Loss 44.0943 ArcLoss 42.5965 MSE 1.4977  Epoch: 0   Global Step: 2700   Required: 47 hours
Training: 2021-07-23 13:34:19,800-Speed 887.62 samples/sec   Loss 43.8575 ArcLoss 42.3626 MSE 1.4949  Epoch: 0   Global Step: 2750   Required: 47 hours
Training: 2021-07-23 13:34:48,703-Speed 886.60 samples/sec   Loss 43.5290 ArcLoss 42.0362 MSE 1.4928  Epoch: 0   Global Step: 2800   Required: 47 hours
Training: 2021-07-23 13:35:17,491-Speed 890.06 samples/sec   Loss 42.9777 ArcLoss 41.4870 MSE 1.4907  Epoch: 0   Global Step: 2850   Required: 47 hours
Training: 2021-07-23 13:35:46,555-Speed 881.62 samples/sec   Loss 42.5311 ArcLoss 41.0376 MSE 1.4934  Epoch: 0   Global Step: 2900   Required: 47 hours
Training: 2021-07-23 13:36:15,350-Speed 890.21 samples/sec   Loss 42.0594 ArcLoss 40.5696 MSE 1.4898  Epoch: 0   Global Step: 2950   Required: 47 hours
Training: 2021-07-23 13:36:44,420-Speed 881.43 samples/sec   Loss 41.9190 ArcLoss 40.4330 MSE 1.4860  Epoch: 0   Global Step: 3000   Required: 47 hours
Training: 2021-07-23 13:37:13,217-Speed 889.84 samples/sec   Loss 41.2442 ArcLoss 39.7577 MSE 1.4864  Epoch: 0   Global Step: 3050   Required: 47 hours
Training: 2021-07-23 13:37:42,383-Speed 878.53 samples/sec   Loss 40.9274 ArcLoss 39.4439 MSE 1.4836  Epoch: 0   Global Step: 3100   Required: 47 hours
Training: 2021-07-23 13:38:11,460-Speed 881.60 samples/sec   Loss 40.4684 ArcLoss 38.9887 MSE 1.4797  Epoch: 0   Global Step: 3150   Required: 47 hours
Training: 2021-07-23 13:38:40,371-Speed 886.29 samples/sec   Loss 39.9555 ArcLoss 38.4766 MSE 1.4789  Epoch: 0   Global Step: 3200   Required: 47 hours
Training: 2021-07-23 13:39:09,178-Speed 889.87 samples/sec   Loss 39.8441 ArcLoss 38.3673 MSE 1.4768  Epoch: 0   Global Step: 3250   Required: 47 hours
Training: 2021-07-23 13:39:38,262-Speed 880.99 samples/sec   Loss 39.2988 ArcLoss 37.8234 MSE 1.4754  Epoch: 0   Global Step: 3300   Required: 47 hours
Training: 2021-07-23 13:40:07,339-Speed 881.29 samples/sec   Loss 38.6064 ArcLoss 37.1312 MSE 1.4753  Epoch: 0   Global Step: 3350   Required: 47 hours
Training: 2021-07-23 13:40:36,137-Speed 889.74 samples/sec   Loss 38.5509 ArcLoss 37.0801 MSE 1.4708  Epoch: 0   Global Step: 3400   Required: 47 hours
Training: 2021-07-23 13:41:05,198-Speed 881.72 samples/sec   Loss 38.0964 ArcLoss 36.6240 MSE 1.4723  Epoch: 0   Global Step: 3450   Required: 47 hours
