Training: 2021-07-14 14:41:30,833-rank_id: 0
Training: 2021-07-14 14:51:11,478-Speed 1140.10 samples/sec   Loss 47.3218   Epoch: 0   Global Step: 2300   Required: 21 hours
Training: 2021-07-14 14:51:22,711-Speed 1139.50 samples/sec   Loss 47.4208   Epoch: 0   Global Step: 2350   Required: 21 hours
Training: 2021-07-14 14:51:34,195-Speed 1114.64 samples/sec   Loss 47.2693   Epoch: 0   Global Step: 2400   Required: 21 hours
Training: 2021-07-14 14:51:45,441-Speed 1138.28 samples/sec   Loss 47.2725   Epoch: 0   Global Step: 2450   Required: 21 hours
Training: 2021-07-14 14:51:56,944-Speed 1112.73 samples/sec   Loss 47.0520   Epoch: 0   Global Step: 2500   Required: 21 hours
Training: 2021-07-14 14:52:08,792-Speed 1080.41 samples/sec   Loss 47.1743   Epoch: 0   Global Step: 2550   Required: 21 hours
Training: 2021-07-14 14:52:20,422-Speed 1100.57 samples/sec   Loss 47.0769   Epoch: 0   Global Step: 2600   Required: 21 hours
Training: 2021-07-14 14:52:31,928-Speed 1112.58 samples/sec   Loss 46.8820   Epoch: 0   Global Step: 2650   Required: 21 hours
Training: 2021-07-14 14:52:43,402-Speed 1115.56 samples/sec   Loss 46.9181   Epoch: 0   Global Step: 2700   Required: 21 hours
Training: 2021-07-14 14:52:54,570-Speed 1146.15 samples/sec   Loss 46.7181   Epoch: 0   Global Step: 2750   Required: 21 hours
Training: 2021-07-14 14:53:06,169-Speed 1103.59 samples/sec   Loss 46.7901   Epoch: 0   Global Step: 2800   Required: 21 hours
Training: 2021-07-14 14:53:17,612-Speed 1118.60 samples/sec   Loss 46.6118   Epoch: 0   Global Step: 2850   Required: 21 hours
Training: 2021-07-14 14:53:29,006-Speed 1123.45 samples/sec   Loss 46.7573   Epoch: 0   Global Step: 2900   Required: 21 hours
Training: 2021-07-14 14:53:40,271-Speed 1136.29 samples/sec   Loss 46.6583   Epoch: 0   Global Step: 2950   Required: 21 hours
Training: 2021-07-14 14:53:52,090-Speed 1083.05 samples/sec   Loss 46.5720   Epoch: 0   Global Step: 3000   Required: 21 hours
Training: 2021-07-14 14:54:04,859-Speed 1002.38 samples/sec   Loss 46.5193   Epoch: 0   Global Step: 3050   Required: 21 hours
Training: 2021-07-14 14:54:17,078-Speed 1047.61 samples/sec   Loss 46.5224   Epoch: 0   Global Step: 3100   Required: 21 hours
Training: 2021-07-14 14:54:28,779-Speed 1093.99 samples/sec   Loss 46.5312   Epoch: 0   Global Step: 3150   Required: 21 hours
Training: 2021-07-14 14:54:40,078-Speed 1132.80 samples/sec   Loss 46.5171   Epoch: 0   Global Step: 3200   Required: 21 hours
Training: 2021-07-14 14:54:51,302-Speed 1140.49 samples/sec   Loss 46.3190   Epoch: 0   Global Step: 3250   Required: 21 hours
Training: 2021-07-14 14:55:02,680-Speed 1125.03 samples/sec   Loss 46.2955   Epoch: 0   Global Step: 3300   Required: 21 hours
Training: 2021-07-14 14:55:15,410-Speed 1005.51 samples/sec   Loss 46.0392   Epoch: 0   Global Step: 3350   Required: 21 hours
Training: 2021-07-14 14:55:27,322-Speed 1074.54 samples/sec   Loss 46.0310   Epoch: 0   Global Step: 3400   Required: 21 hours
Training: 2021-07-14 14:55:39,408-Speed 1059.11 samples/sec   Loss 45.9760   Epoch: 0   Global Step: 3450   Required: 21 hours
Training: 2021-07-14 14:55:51,273-Speed 1078.80 samples/sec   Loss 45.9076   Epoch: 0   Global Step: 3500   Required: 21 hours
Training: 2021-07-14 14:56:02,787-Speed 1111.80 samples/sec   Loss 45.9460   Epoch: 0   Global Step: 3550   Required: 21 hours
Training: 2021-07-14 14:56:14,528-Speed 1090.22 samples/sec   Loss 45.7890   Epoch: 0   Global Step: 3600   Required: 21 hours
Training: 2021-07-14 14:56:26,879-Speed 1036.34 samples/sec   Loss 45.6628   Epoch: 0   Global Step: 3650   Required: 21 hours
Training: 2021-07-14 14:56:39,661-Speed 1001.47 samples/sec   Loss 45.7120   Epoch: 0   Global Step: 3700   Required: 21 hours
Training: 2021-07-14 14:56:52,445-Speed 1001.24 samples/sec   Loss 45.6549   Epoch: 0   Global Step: 3750   Required: 21 hours
Training: 2021-07-14 14:57:05,217-Speed 1002.24 samples/sec   Loss 45.3479   Epoch: 0   Global Step: 3800   Required: 21 hours
Training: 2021-07-14 14:57:17,867-Speed 1011.87 samples/sec   Loss 45.3442   Epoch: 0   Global Step: 3850   Required: 21 hours
Training: 2021-07-14 14:57:30,995-Speed 975.03 samples/sec   Loss 45.0930   Epoch: 0   Global Step: 3900   Required: 21 hours
Training: 2021-07-14 14:57:43,858-Speed 995.13 samples/sec   Loss 45.1144   Epoch: 0   Global Step: 3950   Required: 21 hours
Training: 2021-07-14 14:57:56,167-Speed 1039.94 samples/sec   Loss 44.8821   Epoch: 0   Global Step: 4000   Required: 21 hours
Training: 2021-07-14 14:58:07,831-Speed 1097.37 samples/sec   Loss 44.8909   Epoch: 0   Global Step: 4050   Required: 21 hours
Training: 2021-07-14 14:58:19,345-Speed 1111.77 samples/sec   Loss 44.7057   Epoch: 0   Global Step: 4100   Required: 21 hours
Training: 2021-07-14 14:58:30,868-Speed 1110.78 samples/sec   Loss 44.6394   Epoch: 0   Global Step: 4150   Required: 21 hours
Training: 2021-07-14 14:58:42,391-Speed 1110.92 samples/sec   Loss 44.2594   Epoch: 0   Global Step: 4200   Required: 21 hours
Training: 2021-07-14 14:58:54,059-Speed 1096.99 samples/sec   Loss 44.0804   Epoch: 0   Global Step: 4250   Required: 21 hours
Training: 2021-07-14 14:59:05,421-Speed 1126.57 samples/sec   Loss 43.9842   Epoch: 0   Global Step: 4300   Required: 21 hours
Training: 2021-07-14 14:59:17,232-Speed 1083.80 samples/sec   Loss 43.8266   Epoch: 0   Global Step: 4350   Required: 21 hours
Training: 2021-07-14 14:59:29,238-Speed 1066.18 samples/sec   Loss 43.7368   Epoch: 0   Global Step: 4400   Required: 21 hours
Training: 2021-07-14 14:59:40,621-Speed 1124.52 samples/sec   Loss 43.4560   Epoch: 0   Global Step: 4450   Required: 21 hours
Training: 2021-07-14 14:59:52,448-Speed 1082.29 samples/sec   Loss 43.4730   Epoch: 0   Global Step: 4500   Required: 21 hours
Training: 2021-07-14 15:00:03,778-Speed 1129.73 samples/sec   Loss 43.1712   Epoch: 0   Global Step: 4550   Required: 21 hours
Training: 2021-07-14 15:00:15,115-Speed 1129.13 samples/sec   Loss 42.9244   Epoch: 0   Global Step: 4600   Required: 21 hours
