Training: 2021-07-27 11:43:52,631-rank_id: 0
Training: 2021-07-27 12:15:26,447-Speed 501.92 samples/sec   Loss 47.5355 ArcLoss 46.1333 MSE 1.4023  Epoch: 0   Global Step: 1800   Required: 84 hours
Training: 2021-07-27 12:16:17,206-Speed 504.34 samples/sec   Loss 47.6492 ArcLoss 46.2468 MSE 1.4024  Epoch: 0   Global Step: 1850   Required: 84 hours
Training: 2021-07-27 12:17:08,578-Speed 498.34 samples/sec   Loss 47.5761 ArcLoss 46.1768 MSE 1.3992  Epoch: 0   Global Step: 1900   Required: 84 hours
Training: 2021-07-27 12:17:59,914-Speed 498.67 samples/sec   Loss 47.1490 ArcLoss 45.7505 MSE 1.3986  Epoch: 0   Global Step: 1950   Required: 84 hours
Training: 2021-07-27 12:18:51,461-Speed 496.64 samples/sec   Loss 47.1187 ArcLoss 45.7244 MSE 1.3943  Epoch: 0   Global Step: 2000   Required: 84 hours
Training: 2021-07-27 12:19:42,739-Speed 499.25 samples/sec   Loss 46.6771 ArcLoss 45.2856 MSE 1.3915  Epoch: 0   Global Step: 2050   Required: 84 hours
Training: 2021-07-27 12:20:33,646-Speed 502.88 samples/sec   Loss 46.6108 ArcLoss 45.2192 MSE 1.3916  Epoch: 0   Global Step: 2100   Required: 84 hours
Training: 2021-07-27 12:21:24,789-Speed 500.56 samples/sec   Loss 46.2425 ArcLoss 44.8575 MSE 1.3850  Epoch: 0   Global Step: 2150   Required: 84 hours
Training: 2021-07-27 12:22:15,572-Speed 504.11 samples/sec   Loss 46.1511 ArcLoss 44.7693 MSE 1.3818  Epoch: 0   Global Step: 2200   Required: 84 hours
Training: 2021-07-27 12:23:05,775-Speed 509.93 samples/sec   Loss 45.7762 ArcLoss 44.3940 MSE 1.3821  Epoch: 0   Global Step: 2250   Required: 84 hours
Training: 2021-07-27 12:23:56,742-Speed 502.29 samples/sec   Loss 45.7818 ArcLoss 44.4041 MSE 1.3777  Epoch: 0   Global Step: 2300   Required: 84 hours
Training: 2021-07-27 12:24:47,615-Speed 503.22 samples/sec   Loss 45.3514 ArcLoss 43.9764 MSE 1.3750  Epoch: 0   Global Step: 2350   Required: 84 hours
Training: 2021-07-27 12:25:39,306-Speed 495.25 samples/sec   Loss 45.1033 ArcLoss 43.7289 MSE 1.3744  Epoch: 0   Global Step: 2400   Required: 84 hours
Training: 2021-07-27 12:26:30,441-Speed 500.64 samples/sec   Loss 44.6393 ArcLoss 43.2696 MSE 1.3697  Epoch: 0   Global Step: 2450   Required: 84 hours
Training: 2021-07-27 12:27:22,085-Speed 495.70 samples/sec   Loss 44.5139 ArcLoss 43.1464 MSE 1.3675  Epoch: 0   Global Step: 2500   Required: 84 hours
Training: 2021-07-27 12:28:13,494-Speed 497.98 samples/sec   Loss 44.0696 ArcLoss 42.7021 MSE 1.3675  Epoch: 0   Global Step: 2550   Required: 84 hours
Training: 2021-07-27 12:29:05,446-Speed 492.76 samples/sec   Loss 43.5551 ArcLoss 42.2003 MSE 1.3548  Epoch: 0   Global Step: 2600   Required: 84 hours
Training: 2021-07-27 12:29:56,967-Speed 496.90 samples/sec   Loss 43.1967 ArcLoss 41.8361 MSE 1.3606  Epoch: 0   Global Step: 2650   Required: 84 hours
Training: 2021-07-27 12:30:48,404-Speed 497.70 samples/sec   Loss 42.7159 ArcLoss 41.3614 MSE 1.3545  Epoch: 0   Global Step: 2700   Required: 84 hours
Training: 2021-07-27 12:31:39,688-Speed 499.19 samples/sec   Loss 42.4668 ArcLoss 41.1199 MSE 1.3470  Epoch: 0   Global Step: 2750   Required: 84 hours
Training: 2021-07-27 12:32:31,310-Speed 495.92 samples/sec   Loss 41.9688 ArcLoss 40.6238 MSE 1.3450  Epoch: 0   Global Step: 2800   Required: 84 hours
Training: 2021-07-27 12:33:22,106-Speed 503.98 samples/sec   Loss 41.4241 ArcLoss 40.0812 MSE 1.3430  Epoch: 0   Global Step: 2850   Required: 84 hours
Training: 2021-07-27 12:34:13,861-Speed 494.64 samples/sec   Loss 41.2016 ArcLoss 39.8598 MSE 1.3418  Epoch: 0   Global Step: 2900   Required: 84 hours
Training: 2021-07-27 12:35:04,765-Speed 502.91 samples/sec   Loss 40.5782 ArcLoss 39.2404 MSE 1.3379  Epoch: 0   Global Step: 2950   Required: 84 hours
Training: 2021-07-27 12:35:55,831-Speed 501.32 samples/sec   Loss 40.2485 ArcLoss 38.9185 MSE 1.3300  Epoch: 0   Global Step: 3000   Required: 84 hours
Training: 2021-07-27 12:36:47,444-Speed 496.01 samples/sec   Loss 39.5141 ArcLoss 38.1834 MSE 1.3307  Epoch: 0   Global Step: 3050   Required: 84 hours
Training: 2021-07-27 12:37:38,928-Speed 497.25 samples/sec   Loss 39.1520 ArcLoss 37.8264 MSE 1.3256  Epoch: 0   Global Step: 3100   Required: 84 hours
Training: 2021-07-27 12:38:30,544-Speed 495.97 samples/sec   Loss 38.8574 ArcLoss 37.5330 MSE 1.3243  Epoch: 0   Global Step: 3150   Required: 84 hours
Training: 2021-07-27 12:39:22,454-Speed 493.17 samples/sec   Loss 38.2222 ArcLoss 36.9038 MSE 1.3183  Epoch: 0   Global Step: 3200   Required: 84 hours
Training: 2021-07-27 12:40:13,944-Speed 497.19 samples/sec   Loss 38.1316 ArcLoss 36.8130 MSE 1.3185  Epoch: 0   Global Step: 3250   Required: 84 hours
Training: 2021-07-27 12:41:04,589-Speed 505.48 samples/sec   Loss 37.5028 ArcLoss 36.1891 MSE 1.3137  Epoch: 0   Global Step: 3300   Required: 84 hours
Training: 2021-07-27 12:41:56,347-Speed 494.62 samples/sec   Loss 36.8515 ArcLoss 35.5428 MSE 1.3087  Epoch: 0   Global Step: 3350   Required: 84 hours
Training: 2021-07-27 12:42:47,406-Speed 501.39 samples/sec   Loss 36.8724 ArcLoss 35.5718 MSE 1.3005  Epoch: 0   Global Step: 3400   Required: 84 hours
Training: 2021-07-27 12:43:38,036-Speed 505.63 samples/sec   Loss 36.3725 ArcLoss 35.0735 MSE 1.2990  Epoch: 0   Global Step: 3450   Required: 84 hours
Training: 2021-07-27 12:44:29,376-Speed 498.64 samples/sec   Loss 35.8741 ArcLoss 34.5768 MSE 1.2973  Epoch: 0   Global Step: 3500   Required: 84 hours
Training: 2021-07-27 12:45:20,616-Speed 499.61 samples/sec   Loss 35.6440 ArcLoss 34.3492 MSE 1.2947  Epoch: 0   Global Step: 3550   Required: 84 hours
Training: 2021-07-27 12:46:12,908-Speed 489.57 samples/sec   Loss 35.4736 ArcLoss 34.1756 MSE 1.2980  Epoch: 0   Global Step: 3600   Required: 84 hours
Training: 2021-07-27 12:47:03,443-Speed 506.58 samples/sec   Loss 35.0698 ArcLoss 33.7793 MSE 1.2905  Epoch: 0   Global Step: 3650   Required: 84 hours
Training: 2021-07-27 12:47:54,945-Speed 497.08 samples/sec   Loss 34.3801 ArcLoss 33.0985 MSE 1.2815  Epoch: 0   Global Step: 3700   Required: 83 hours
Training: 2021-07-27 12:48:46,490-Speed 496.65 samples/sec   Loss 34.4005 ArcLoss 33.1182 MSE 1.2822  Epoch: 0   Global Step: 3750   Required: 83 hours
Training: 2021-07-27 12:49:37,681-Speed 500.09 samples/sec   Loss 34.0540 ArcLoss 32.7819 MSE 1.2721  Epoch: 0   Global Step: 3800   Required: 83 hours
Training: 2021-07-27 12:50:28,175-Speed 507.00 samples/sec   Loss 33.6518 ArcLoss 32.3793 MSE 1.2725  Epoch: 0   Global Step: 3850   Required: 83 hours
Training: 2021-07-27 12:51:19,493-Speed 498.85 samples/sec   Loss 33.1467 ArcLoss 31.8779 MSE 1.2688  Epoch: 0   Global Step: 3900   Required: 83 hours
Training: 2021-07-27 12:52:11,027-Speed 496.76 samples/sec   Loss 33.0313 ArcLoss 31.7614 MSE 1.2699  Epoch: 0   Global Step: 3950   Required: 83 hours
Training: 2021-07-27 12:53:02,305-Speed 499.24 samples/sec   Loss 33.1672 ArcLoss 31.9067 MSE 1.2605  Epoch: 0   Global Step: 4000   Required: 83 hours
Training: 2021-07-27 12:53:53,716-Speed 497.96 samples/sec   Loss 32.5582 ArcLoss 31.3006 MSE 1.2576  Epoch: 0   Global Step: 4050   Required: 83 hours
Training: 2021-07-27 12:54:44,545-Speed 503.65 samples/sec   Loss 32.3584 ArcLoss 31.1024 MSE 1.2560  Epoch: 0   Global Step: 4100   Required: 83 hours
Training: 2021-07-27 12:55:37,625-Speed 482.29 samples/sec   Loss 32.2491 ArcLoss 31.0005 MSE 1.2486  Epoch: 0   Global Step: 4150   Required: 83 hours
Training: 2021-07-27 12:56:28,852-Speed 499.75 samples/sec   Loss 32.3895 ArcLoss 31.1392 MSE 1.2503  Epoch: 0   Global Step: 4200   Required: 83 hours
Training: 2021-07-27 12:57:20,994-Speed 490.97 samples/sec   Loss 31.7284 ArcLoss 30.4868 MSE 1.2416  Epoch: 0   Global Step: 4250   Required: 83 hours
Training: 2021-07-27 12:58:13,214-Speed 490.24 samples/sec   Loss 31.4271 ArcLoss 30.1855 MSE 1.2416  Epoch: 0   Global Step: 4300   Required: 83 hours
Training: 2021-07-27 12:59:04,989-Speed 494.44 samples/sec   Loss 31.2705 ArcLoss 30.0333 MSE 1.2372  Epoch: 0   Global Step: 4350   Required: 83 hours
Training: 2021-07-27 12:59:56,254-Speed 499.37 samples/sec   Loss 30.9065 ArcLoss 29.6722 MSE 1.2344  Epoch: 0   Global Step: 4400   Required: 83 hours
Training: 2021-07-27 13:00:47,103-Speed 503.46 samples/sec   Loss 30.9486 ArcLoss 29.7182 MSE 1.2304  Epoch: 0   Global Step: 4450   Required: 83 hours
Training: 2021-07-27 13:01:38,669-Speed 496.46 samples/sec   Loss 30.6502 ArcLoss 29.4208 MSE 1.2295  Epoch: 0   Global Step: 4500   Required: 83 hours
Training: 2021-07-27 13:02:30,529-Speed 493.64 samples/sec   Loss 30.7084 ArcLoss 29.4853 MSE 1.2230  Epoch: 0   Global Step: 4550   Required: 83 hours
Training: 2021-07-27 13:03:21,524-Speed 502.02 samples/sec   Loss 30.3682 ArcLoss 29.1473 MSE 1.2208  Epoch: 0   Global Step: 4600   Required: 83 hours
Training: 2021-07-27 13:04:12,797-Speed 499.29 samples/sec   Loss 29.8913 ArcLoss 28.6750 MSE 1.2162  Epoch: 0   Global Step: 4650   Required: 83 hours
Training: 2021-07-27 13:05:04,591-Speed 494.27 samples/sec   Loss 29.8457 ArcLoss 28.6346 MSE 1.2112  Epoch: 0   Global Step: 4700   Required: 83 hours
Training: 2021-07-27 13:05:54,855-Speed 509.32 samples/sec   Loss 29.7451 ArcLoss 28.5358 MSE 1.2093  Epoch: 0   Global Step: 4750   Required: 83 hours
Training: 2021-07-27 13:06:45,888-Speed 501.64 samples/sec   Loss 29.7501 ArcLoss 28.5433 MSE 1.2068  Epoch: 0   Global Step: 4800   Required: 83 hours
Training: 2021-07-27 13:07:37,624-Speed 494.82 samples/sec   Loss 29.5678 ArcLoss 28.3661 MSE 1.2017  Epoch: 0   Global Step: 4850   Required: 83 hours
Training: 2021-07-27 13:08:28,969-Speed 498.59 samples/sec   Loss 29.3850 ArcLoss 28.1883 MSE 1.1967  Epoch: 0   Global Step: 4900   Required: 83 hours
Training: 2021-07-27 13:09:20,176-Speed 499.94 samples/sec   Loss 29.0339 ArcLoss 27.8398 MSE 1.1941  Epoch: 0   Global Step: 4950   Required: 83 hours
Training: 2021-07-27 13:10:11,495-Speed 498.84 samples/sec   Loss 28.9530 ArcLoss 27.7620 MSE 1.1910  Epoch: 0   Global Step: 5000   Required: 83 hours
Training: 2021-07-27 13:11:03,438-Speed 492.85 samples/sec   Loss 29.1044 ArcLoss 27.9146 MSE 1.1898  Epoch: 0   Global Step: 5050   Required: 83 hours
Training: 2021-07-27 13:11:53,984-Speed 506.48 samples/sec   Loss 28.7858 ArcLoss 27.6020 MSE 1.1839  Epoch: 0   Global Step: 5100   Required: 83 hours
Training: 2021-07-27 13:12:45,452-Speed 497.39 samples/sec   Loss 28.4603 ArcLoss 27.2799 MSE 1.1803  Epoch: 0   Global Step: 5150   Required: 83 hours
Training: 2021-07-27 13:13:36,227-Speed 504.19 samples/sec   Loss 28.4069 ArcLoss 27.2274 MSE 1.1795  Epoch: 0   Global Step: 5200   Required: 83 hours
Training: 2021-07-27 13:14:28,055-Speed 493.95 samples/sec   Loss 28.3952 ArcLoss 27.2214 MSE 1.1738  Epoch: 0   Global Step: 5250   Required: 83 hours
Training: 2021-07-27 13:15:19,595-Speed 496.70 samples/sec   Loss 28.0853 ArcLoss 26.9171 MSE 1.1682  Epoch: 0   Global Step: 5300   Required: 83 hours
Training: 2021-07-27 13:16:11,252-Speed 495.58 samples/sec   Loss 28.0602 ArcLoss 26.8956 MSE 1.1647  Epoch: 0   Global Step: 5350   Required: 83 hours
Training: 2021-07-27 13:17:03,668-Speed 488.40 samples/sec   Loss 28.0705 ArcLoss 26.9071 MSE 1.1634  Epoch: 0   Global Step: 5400   Required: 83 hours
Training: 2021-07-27 13:17:54,560-Speed 503.04 samples/sec   Loss 27.8775 ArcLoss 26.7167 MSE 1.1607  Epoch: 0   Global Step: 5450   Required: 83 hours
Training: 2021-07-27 13:18:40,717-Speed 554.63 samples/sec   Loss 28.0749 ArcLoss 26.9183 MSE 1.1566  Epoch: 0   Global Step: 5500   Required: 83 hours
Training: 2021-07-27 13:19:18,962-Speed 669.39 samples/sec   Loss 27.5481 ArcLoss 26.3936 MSE 1.1545  Epoch: 0   Global Step: 5550   Required: 83 hours
Training: 2021-07-27 13:19:58,106-Speed 654.00 samples/sec   Loss 27.5580 ArcLoss 26.4084 MSE 1.1497  Epoch: 0   Global Step: 5600   Required: 82 hours
Training: 2021-07-27 13:20:37,351-Speed 652.33 samples/sec   Loss 27.4597 ArcLoss 26.3162 MSE 1.1435  Epoch: 0   Global Step: 5650   Required: 82 hours
Training: 2021-07-27 13:24:53,831-[lfw][5686]XNorm: 12.566219
Training: 2021-07-27 13:24:53,845-[lfw][5686]Accuracy-Flip: 0.96883+-0.00925
Training: 2021-07-27 13:24:53,845-[lfw][5686]Accuracy-Highest: 0.96883
Training: 2021-07-27 13:25:11,101-Speed 93.52 samples/sec   Loss 27.6203 ArcLoss 26.4750 MSE 1.1453  Epoch: 0   Global Step: 5700   Required: 85 hours
Training: 2021-07-27 13:30:14,346-Speed 84.42 samples/sec   Loss 27.3530 ArcLoss 26.2138 MSE 1.1391  Epoch: 0   Global Step: 5750   Required: 89 hours
Training: 2021-07-27 13:38:12,578-Speed 53.53 samples/sec   Loss 27.1353 ArcLoss 25.9987 MSE 1.1365  Epoch: 0   Global Step: 5800   Required: 95 hours
Training: 2021-07-27 13:39:02,062-Speed 517.35 samples/sec   Loss 27.0780 ArcLoss 25.9432 MSE 1.1348  Epoch: 0   Global Step: 5850   Required: 95 hours
Training: 2021-07-27 13:40:10,969-Speed 371.52 samples/sec   Loss 27.0338 ArcLoss 25.9053 MSE 1.1285  Epoch: 0   Global Step: 5900   Required: 95 hours
Training: 2021-07-27 13:40:54,468-Speed 588.53 samples/sec   Loss 26.7709 ArcLoss 25.6441 MSE 1.1269  Epoch: 0   Global Step: 5950   Required: 95 hours
Training: 2021-07-27 13:41:38,841-Speed 576.95 samples/sec   Loss 26.8818 ArcLoss 25.7582 MSE 1.1236  Epoch: 0   Global Step: 6000   Required: 94 hours
